# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
translation	1	9.633328e-43	1.0057194432e-38	2.700883	249	0.05758557	13	6.9866632246153845e-40	2.181489	230	361	0.04365155	
mRNA metabolic process	2	2.730573e-36	1.425359106e-32	2.00639	381	0.08811286	16	1.1728080675e-34	1.828722	329	616	0.06244069	
nuclear-transcribed mRNA catabolic process	3	3.272054e-31	1.138674792e-27	3.25008	136	0.03145236	51	2.477328070588235e-20	2.223625	113	174	0.02144619	
viral gene expression	4	3.29895e-31	8.6102595e-28	4.739521	87	0.02012026	65	1.0730619083076923e-18	2.595024	72	95	0.01366483	
translational initiation	5	5.316881e-30	1.1101647528e-26	3.480067	119	0.02752081	30	1.055708112e-23	2.445707	105	147	0.01992788	
mRNA catabolic process	6	8.377931e-30	1.4577599940000003e-26	3.049137	142	0.03283996	47	6.82152709787234e-21	2.202458	119	185	0.02258493	
translational elongation	10	7.304579e-29	7.625980476e-26	3.974408	97	0.02243293	53	4.7917433207547175e-20	2.514966	83	113	0.01575251	
cotranslational protein targeting to membrane	11	1.710719e-28	1.6236278509090909e-25	3.894468	98	0.0226642	44	2.7412165636363637e-21	2.583556	83	110	0.01575251	
translational termination	13	4.055595e-28	3.256954753846154e-25	4.565069	81	0.01873265	64	7.500376575e-19	2.654554	69	89	0.01309546	
SRP-dependent cotranslational protein targeting to membrane	14	6.073647e-28	4.529205334285714e-25	3.894518	96	0.02220167	50	1.6423176528e-20	2.567992	81	108	0.01537294	
RNA catabolic process	15	7.190319e-28	5.004462024e-25	2.755464	155	0.03584644	52	3.6082728e-20	2.099616	130	212	0.02467261	
viral transcription	16	8.335754e-28	5.439079485e-25	4.680922	78	0.01803885	59	5.790264650847458e-19	2.698909	67	85	0.01271589	
protein targeting to ER	18	1.385128e-27	8.0337423999999995e-25	3.722803	100	0.02312673	40	1.150379163e-21	2.591127	84	111	0.0159423	
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	21	2.562679e-26	1.2740175600000002e-23	3.695797	96	0.02220167	69	1.5132885913043478e-18	2.416934	84	119	0.0159423	
macromolecular complex disassembly	22	2.72139e-26	1.2914232545454545e-23	3.261289	113	0.02613321	54	4.8376098666666665e-20	2.394218	93	133	0.01765041	
establishment of protein localization to endoplasmic reticulum	23	4.792036e-26	2.1751676452173915e-23	3.54712	100	0.02312673	45	2.9233484800000002e-21	2.567992	84	112	0.0159423	
protein complex disassembly	25	9.684307e-26	4.0441666032e-23	3.293472	109	0.02520814	57	2.8694504842105266e-19	2.399489	89	127	0.01689125	
viral life cycle	27	3.301292e-25	1.2764995733333335e-22	3.084791	117	0.02705828	58	3.310821e-19	2.28266	100	150	0.01897893	
cellular protein complex disassembly	34	9.721227e-23	2.984988525882353e-20	3.35809	93	0.02150786	60	6.690696719999999e-19	2.504585	79	108	0.01499336	
protein localization to endoplasmic reticulum	35	1.318991e-22	3.934361725714286e-20	3.10875	103	0.02382054	68	1.4140169364705882e-18	2.383097	87	125	0.01651167	
