# GREAT version 3.0.0	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009L18Rik	. (+5071)
0610010K14Rik	. (-2092), . (-24)
0610040J01Rik	. (+145462)
1110007C09Rik	. (+10307)
1110008F13Rik	. (-109)
1110008P14Rik	. (+18928)
1110032A03Rik	. (-2248)
1110032F04Rik	. (-175839)
1110059E24Rik	. (-153)
1110065P20Rik	. (-314)
1190007I07Rik	. (-110)
1200011I18Rik	. (-143)
1200014J11Rik	. (-10745), . (+46)
1300018J18Rik	. (+60)
1600002H07Rik	. (-47)
1600002K03Rik	. (+142)
1700001O22Rik	. (+89491), . (+101708)
1700011E24Rik	. (+112438)
1700012B07Rik	. (-32366)
1700015F17Rik	. (+58982)
1700016K19Rik	. (-32757)
1700017B05Rik	. (-171119), . (-158635)
1700019O17Rik	. (+14361), . (+61215), . (+77965), . (+83226)
1700021F05Rik	. (+6)
1700021K19Rik	. (+68)
1700034H15Rik	. (-131)
1700037C18Rik	. (-124)
1700037H04Rik	. (-159)
1700052N19Rik	. (-33)
1700060C20Rik	. (+16019)
1700067P10Rik	. (-50000), . (+11453)
1700069B07Rik	. (+215)
1700092M07Rik	. (-4899)
1700106J16Rik	. (+257142), . (+265583)
1700110M21Rik	. (+915650)
1810013L24Rik	. (-60754), . (-515)
1810024B03Rik	. (-48)
1810062G17Rik	. (-296)
2010109A12Rik	. (+211)
2300009A05Rik	. (+2)
2310003H01Rik	. (-16)
2310033P09Rik	. (+40)
2310039H08Rik	. (+15)
2310044G17Rik	. (-189)
2310057M21Rik	. (-182)
2410004B18Rik	. (-1)
2410004P03Rik	. (-21943)
2410015M20Rik	. (-3636), . (-73)
2410016O06Rik	. (+161)
2410131K14Rik	. (-15), . (+115007)
2510046G10Rik	. (+176)
2610002J02Rik	. (+58221)
2610002M06Rik	. (+108)
2610015P09Rik	. (-52)
2610018G03Rik	. (-221017)
2700029M09Rik	. (-30665)
2700049A03Rik	. (+12)
2700094K13Rik	. (+184)
2810004N23Rik	. (+14)
2810025M15Rik	. (+234)
2810403A07Rik	. (-83)
2810407A14Rik	. (-83926)
2810408A11Rik	. (-661)
2810417H13Rik	. (-5103)
2810428I15Rik	. (-3603), . (+201)
3010026O09Rik	. (-66)
3110040N11Rik	. (-13)
3110043O21Rik	. (-146)
3110057O12Rik	. (-92)
3110062M04Rik	. (-76)
3110082I17Rik	. (-87)
3230401D17Rik	. (-257)
4632404H12Rik	. (-161)
4632415L05Rik	. (+37)
4632428N05Rik	. (+194)
4732440D04Rik	. (+595)
4930415O20Rik	. (-3141)
4930426L09Rik	. (-121)
4930427A07Rik	. (-163)
4930468A15Rik	. (-830770)
